"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_52632.spec.fits","3.57088588","-30.3543744","52632","jw08204001001_01_msa.fits","93","G235M_F170LP","35013.3","1.61","4.28","0.1","0.009","2025-11-06 14:52:01.094","0.9.13.dev13+g833a53735","-","0","3.8948","3.8948","3","Auto","Redshift matches uncover-62-v4_prism-clear_2561_52632 z=3.8935","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_58852.spec.fits","3.54178288","-30.34244002","58852","jw08204001001_01_msa.fits","179","G235M_F170LP","35013.3","1.61","4.58","0.1","0.009","2025-11-06 15:06:59.541","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b71.spec.fits","3.57596477","-30.39144531","71","jw08204001001_01_msa.fits","71","G395M_F290LP","8753.3","2.69","5.5","0.1","0.009","2025-11-06 13:51:04.302","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_56253.spec.fits","3.53633834","-30.3478609","56253","jw08204001001_01_msa.fits","218","G395M_F290LP","8753.3","2.69","5.5","0","0.009","2025-11-06 14:56:16.333","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_33082.spec.fits","3.53968049","-30.38479991","33082","jw08204001001_01_msa.fits","178","PRISM_CLEAR","2188.3","0.55","5.5","0.2","0.008","2025-11-06 14:18:34.925","0.9.13.dev13+g833a53735","-","0","5.7638","5.7637","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b191.spec.fits","3.53625381","-30.38861944","191","jw08204001001_01_msa.fits","191","G395M_F290LP","8753.3","2.69","5.5","0","0.008","2025-11-06 13:53:41.145","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b152.spec.fits","3.54748508","-30.3895383","152","jw08204001001_01_msa.fits","152","PRISM_CLEAR","2188.3","0.55","5.5","0.2","0.008","2025-11-06 14:55:23.893","0.9.13.dev13+g833a53735","-","0","1.2598","1.2598","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b74.spec.fits","3.57774711","-30.34108881","74","jw08204001001_01_msa.fits","74","G395M_F290LP","8753.3","2.69","5.5","0.1","0.008","2025-11-06 14:30:31.925","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b203.spec.fits","3.53771401","-30.35493727","203","jw08204001001_01_msa.fits","203","G395M_F290LP","8753.3","2.69","5.5","0","0.007","2025-11-06 14:45:48.716","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_48538.spec.fits","3.57613247","-30.36145983","48538","jw08204001001_01_msa.fits","81","G235M_F170LP","35013.3","1.61","4.09","0","0.007","2025-11-06 14:40:55.438","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b10.spec.fits","3.58950711","-30.38058511","10","jw08204001001_01_msa.fits","10","G395M_F290LP","8753.3","2.69","5.5","0","0.007","2025-11-06 14:52:08.238","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b199.spec.fits","3.53636996","-30.38163366","199","jw08204001001_01_msa.fits","199","G395M_F290LP","8753.3","2.69","5.5","0","0.007","2025-11-06 14:20:45.536","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b206.spec.fits","3.53742011","-30.35884591","206","jw08204001001_01_msa.fits","206","G395M_F290LP","8753.3","2.69","5.5","0","0.007","2025-11-06 14:44:08.757","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b224.spec.fits","3.53390725","-30.34407472","224","jw08204001001_01_msa.fits","224","G395M_F290LP","8753.3","2.69","5.29","0","0.007","2025-11-06 14:40:29.738","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_32270.spec.fits","3.54541116","-30.38659649","32270","jw08204001001_01_msa.fits","161","G235M_F170LP","35013.3","1.6","4.58","0.1","0.007","2025-11-06 15:08:20.993","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
